Ro	E0_SvFs	E0
0.0	0.749931652598	0.749931652598
0.02	0.755	0.755
0.04	0.760068347402	0.760068347402
0.06	0.765038842325	0.765038842325
0.08	0.769813632289	0.769813632289
0.1	0.774294864813	0.774294864813
0.12	0.77838468742	0.77838468742
0.14	0.781985247628	0.781985247628
0.16	0.784998692958	0.784998692958
0.18	0.787327170932	0.787327170932
0.2	0.788872829068	0.788872829068
0.22	0.789625474669	0.789625474669
0.24	0.789662574108	0.789662574108
0.26	0.789061593761	0.789061593761
0.28	0.7879	0.7879
0.3	0.786255259201	0.786255259201
0.32	0.784285155906	0.784285155906
0.34	0.782147474658	0.782147474658
0.36	0.780000000001	0.780000000001
0.38	0.778000516478	0.778000516478
0.4	0.775625057263	0.775625057263
0.42	0.772349655534	0.772349655534
0.44	0.767650344464	0.767650344464
0.46	0.761389781721	0.761389781721
0.48	0.753817250875	0.753817250875
0.5	0.745182035493	0.745182035493
0.52	0.735733419146	0.735733419146
0.54	0.725720685402	0.725720685402
0.56	0.715393117831	0.715393117831
0.58	0.705000000002	0.705000000002
0.6	0.694790615484	0.694790615484
0.62	0.68353420268	0.68353420268
0.64	0.669999999996	0.669999999996
0.66	0.652957245834	0.652957245834
0.68	0.634069419426	0.634069419426
0.7	0.615000000003	0.615000000003
0.72	0.597412466795	0.597412466795
0.74	0.580902701357	0.580902701357
0.76	0.56506658524	0.56506658524
0.78	0.549499999999	0.549499999999
0.8	0.533798827188	0.533798827188
0.82	0.517981012399	0.517981012399
0.84	0.502064501227	0.502064501227
0.86	0.486067239266	0.486067239266
0.88	0.47000717211	0.47000717211
0.9	0.453902245353	0.453902245353
0.92	0.437770404589	0.437770404589
0.94	0.421629595412	0.421629595412
0.96	0.405488786235	0.405488786235
0.98	0.389347977058	0.389347977058
1.0	0.373207167881	0.373207167881
