Ro	Time	T_SvFs	T
0.36	2.815	2.97690227704	2.96914
0.43	2.815	2.53082289319	2.54227
0.58	2.815	1.85329733501	1.85966
0.64	2.815	1.49007865125	1.48712
0.7	2.815	1.27894398047	1.27309
1.0	2.815	-0.00077817230257	0.0
0.02	2.816	4.05882812007	4.05086
0.19	2.816	3.83377668673	3.82108
0.28	2.816	3.38363823302	3.38152
0.36	2.816	2.98804901501	2.98496
0.43	2.816	2.5366870925	2.54916
0.58	2.816	1.85503297653	1.85733
0.64	2.816	1.49207313436	1.48645
0.7	2.816	1.28270540936	1.27544
1.0	2.816	-0.00089433370393	0.0
0.02	2.817	4.08384949656	4.07228
0.19	2.817	3.85620651833	3.84638
0.28	2.817	3.39950822562	3.40483
0.36	2.817	2.99800876281	3.00474
0.43	2.817	2.54132009382	2.55711
0.58	2.817	1.85630837631	1.85594
0.64	2.817	1.49377486531	1.48577
0.7	2.817	1.28648778058	1.2764
1.0	2.817	-0.000995001265662	0.0
0.02	2.818	4.10786469818	4.09677
0.19	2.818	3.87716592322	3.87839
0.28	2.818	3.41412462126	3.41365
0.36	2.818	3.00630671854	3.02026
0.43	2.818	2.5447682341	2.56123
0.58	2.818	1.8573972722	1.85413
0.64	2.818	1.49591262454	1.49056
0.7	2.818	1.29060632883	1.28369
1.0	2.818	-0.00105561765842	0.0
0.02	2.819	4.13035722353	4.12429
0.19	2.819	3.89652392598	3.90817
0.28	2.819	3.42681261566	3.41834
0.36	2.819	3.01312359299	3.03694
0.43	2.819	2.54678763852	2.5641
0.58	2.819	1.85819003283	1.85169
0.64	2.819	1.49787961147	1.48999
0.7	2.819	1.29495743013	1.29072
1.0	2.819	-0.00107516300784	0.0
0.02	2.82	4.1511709389	4.15122
0.19	2.82	3.9138248068	3.9283
0.28	2.82	3.43788434943	3.42115
0.36	2.82	3.0179536502	3.04105
0.43	2.82	2.54754015037	2.56299
0.58	2.82	1.85893037121	1.8478
0.64	2.82	1.50050380921	1.49142
0.7	2.82	1.29978765872	1.29232
1.0	2.82	-0.00102408586985	0.0
0.02	2.821	4.16979015561	4.17046
0.19	2.821	3.92907414281	3.94484
0.28	2.821	3.44660483348	3.43726
0.36	2.821	3.02117161119	3.04824
0.43	2.821	2.54680049812	2.53731
0.58	2.821	1.85953350569	1.84649
0.64	2.821	1.50300024639	1.49494
0.7	2.821	1.30498992727	1.29465
1.0	2.821	-0.00091640887646	0.0
0.02	2.822	4.18606648776	4.18589
0.19	2.822	3.94181041503	3.95616
0.28	2.822	3.45353268578	3.45836
0.36	2.822	3.02225546552	3.05257
0.43	2.822	2.54488700534	2.53573
0.58	2.822	1.86017479905	1.84509
0.64	2.822	1.50632838664	1.5062
0.7	2.822	1.31070574519	1.29953
1.0	2.822	-0.000716578370324	0.0
0.02	2.823	4.19983314285	4.19952
0.19	2.823	3.95226189127	3.96754
0.28	2.823	3.45783182089	3.4652
0.36	2.823	3.02182150705	3.04928
0.43	2.823	2.54157985668	2.53143
0.58	2.823	1.86077447499	1.84509
0.64	2.823	1.50939694807	1.50721
0.7	2.823	1.31680873507	1.30595
1.0	2.823	-0.000460860396957	0.0
0.02	2.824	4.21080741671	4.21893
0.19	2.824	3.9599712721	3.97467
0.28	2.824	3.46042623746	3.46322
0.36	2.824	3.01926729736	3.0342
0.43	2.824	2.53729424353	2.51739
0.58	2.824	1.86139580201	1.84498
0.64	2.824	1.51340264223	1.51099
0.7	2.824	1.32328909565	1.3167
1.0	2.824	-0.000100775295148	0.0
0.02	2.825	4.2192814545	4.22845
0.19	2.825	3.96545744021	3.98372
0.28	2.825	3.46031678435	3.45515
0.36	2.825	3.01554432266	3.01658
0.43	2.825	2.53179391311	2.50566
0.58	2.825	1.86194636645	1.84656
0.64	2.825	1.51674100924	1.52236
0.7	2.825	1.33001020243	1.3255
1.0	2.825	0.000298698592426	0.0
0.02	2.826	4.22436170555	4.2401
0.19	2.826	3.96819543466	3.99337
0.28	2.826	3.45892638166	3.45459
0.36	2.826	3.0097955739	3.00311
0.43	2.826	2.52555952087	2.49676
0.58	2.826	1.86238634692	1.85652
0.64	2.826	1.52117643908	1.53425
0.7	2.826	1.33682130756	1.33862
1.0	2.826	0.00082125442261	0.0
0.02	2.827	4.22776887832	4.2346
0.19	2.827	3.96905043095	3.98877
0.28	2.827	3.45475966431	3.45363
0.36	2.827	3.00342829608	2.99032
0.43	2.827	2.51826562987	2.48797
0.58	2.827	1.86252148281	1.86503
0.64	2.827	1.524024996	1.53896
0.7	2.827	1.34356485287	1.3485
1.0	2.827	0.00137937885368	0.0
0.02	2.828	4.22676542965	4.22099
0.19	2.828	3.96721467738	3.97934
0.28	2.828	3.45007558636	3.45452
0.36	2.828	2.99484590954	2.98118
0.43	2.828	2.51036018891	2.47999
0.58	2.828	1.86246029911	1.87085
0.64	2.828	1.52871804375	1.54476
0.7	2.828	1.35015955356	1.3655
1.0	2.828	0.00217427080386	0.0
0.02	2.829	4.22692675907	4.20594
0.19	2.829	3.96409694968	3.95871
0.28	2.829	3.4419889802	3.45343
0.36	2.829	2.98652766509	2.9732
0.43	2.829	2.50145910794	2.47632
0.58	2.829	1.86149774632	1.87085
0.64	2.829	1.5296981599	1.55144
0.7	2.829	1.35617594181	1.37317
1.0	2.829	0.00318340528796	0.0
0.02	2.83	4.21940628651	4.19291
0.19	2.83	3.9580306053	3.94426
0.28	2.83	3.43511414277	3.44623
0.36	2.83	2.97477911727	2.96664
0.43	2.83	2.49186137151	2.47815
0.58	2.83	1.86099435968	1.876
0.64	2.83	1.53575245599	1.55574
0.7	2.83	1.36241009123	1.37758
1.0	2.83	0.00414071906638	0.0
