Ro	Time	T_SvFs	T
0.28	2.815	3.3567800014	3.35678
0.36	2.815	2.96913999944	2.96914
0.43	2.815	2.54226999938	2.54227
0.58	2.815	1.85965999856	1.85966
0.64	2.815	1.48712000228	1.48712
0.7	2.815	1.27308999872	1.27309
1.0	2.815	9.539924406e-12	0.0
0.02	2.816	4.05085999959	4.05086
0.19	2.816	3.82108000153	3.82108
0.28	2.816	3.38152000019	3.38152
0.36	2.816	2.98496000036	2.98496
0.43	2.816	2.54916000164	2.54916
0.58	2.816	1.85732999844	1.85733
0.64	2.816	1.48645000226	1.48645
0.7	2.816	1.27543999851	1.27544
1.0	2.816	9.99644811372e-12	0.0
0.02	2.817	4.07228000068	4.07228
0.19	2.817	3.84638000221	3.84638
0.28	2.817	3.40482999734	3.40483
0.36	2.817	3.00473999868	3.00474
0.43	2.817	2.55711000033	2.55711
0.58	2.817	1.85593999816	1.85594
0.64	2.817	1.48577000345	1.48577
0.7	2.817	1.27640000045	1.2764
1.0	2.817	1.27524657501e-11	0.0
0.02	2.818	4.09677000089	4.09677
0.19	2.818	3.87838999919	3.87839
0.28	2.818	3.41365000066	3.41365
0.36	2.818	3.02025999959	3.02026
0.43	2.818	2.56123000211	2.56123
0.58	2.818	1.85412999831	1.85413
0.64	2.818	1.49056000114	1.49056
0.7	2.818	1.28368999891	1.28369
1.0	2.818	1.57851509641e-11	0.0
0.02	2.819	4.12429000051	4.12429
0.19	2.819	3.90816999637	3.90817
0.28	2.819	3.41834000215	3.41834
0.36	2.819	3.03693999608	3.03694
0.43	2.819	2.56410000134	2.5641
0.58	2.819	1.85168999812	1.85169
0.64	2.819	1.48999000304	1.48999
0.7	2.819	1.29071999746	1.29072
1.0	2.819	1.59339208494e-11	0.0
0.02	2.82	4.15121999926	4.15122
0.19	2.82	3.92829999825	3.9283
0.28	2.82	3.42115000602	3.42115
0.36	2.82	3.04104999886	3.04105
0.43	2.82	2.56298999371	2.56299
0.58	2.82	1.84779999867	1.8478
0.64	2.82	1.49142000302	1.49142
0.7	2.82	1.29231999872	1.29232
1.0	2.82	1.12581055589e-11	0.0
0.02	2.821	4.17046000007	4.17046
0.19	2.821	3.94483999793	3.94484
0.28	2.821	3.43726000384	3.43726
0.36	2.821	3.0482399968	3.04824
0.43	2.821	2.53731001081	2.53731
0.58	2.821	1.84648999811	1.84649
0.64	2.821	1.49494000371	1.49494
